,64,WAY_001_1,1,6357A
0,64,WAY_001_1,2,6357B
1,64,WAY_001_2,1,6357B
2,64,WAY_001_2,2,6403A
3,64,WAY_001_3,1,6403A
4,64,WAY_001_3,2,6403B
5,64,WAY_001_4,1,6103B
6,64,WAY_001_4,2,6414A
7,64,WAY_001_5,1,6403B
8,64,WAY_001_5,2,6415A
9,64,WAY_001_6,1,6415A
10,64,WAY_001_6,2,6415B
11,64,WAY_001_7,1,6415B
12,64,WAY_001_7,2,6433A
13,64,WAY_001_8,1,6433A
14,64,WAY_001_8,2,6433B
15,64,WAY_001_9,1,6433B
16,64,WAY_001_9,2,6456B
17,64,WAY_001_10,1,6433B
18,64,WAY_001_10,2,6433C
19,64,WAY_001_11,1,6433C
20,64,WAY_001_11,2,6457
21,64,WAY_001_12,1,6457
22,64,WAY_001_12,2,6803A
23,64,WAY_001_13,1,6803A
24,64,WAY_001_13,2,6803B
25,64,WAY_001_14,1,6402B
26,64,WAY_001_14,2,6402A
27,64,WAY_001_15,1,6402A
28,64,WAY_001_15,2,6414B
29,64,WAY_001_16,1,6414B
30,64,WAY_001_16,2,6414A
31,64,WAY_001_17,1,6414A
32,64,WAY_001_17,2,6430B
33,64,WAY_001_18,1,6430B
34,64,WAY_001_18,2,6430A
35,64,WAY_001_19,1,6430A
36,64,WAY_001_19,2,6456D
37,64,WAY_001_20,1,6456D
38,64,WAY_001_20,2,6456C
39,64,WAY_001_21,1,6456C
40,64,WAY_001_21,2,6456B
41,64,WAY_001_22,1,6456B
42,64,WAY_001_22,2,6456A
43,64,WAY_001_23,1,6456A
44,64,WAY_001_23,2,6806B
45,64,WAY_001_24,1,6806B
46,64,WAY_001_24,2,6806A
47,64,WAY_001_25,1,6806A
48,64,WAY_001_25,2,6816B
49,64,WAY_001_26,1,6816B
50,64,WAY_001_26,2,6816A
51,64,WAY_001_27,1,6430C
52,64,WAY_001_27,2,6430B
53,70,WAY_001_1,1,6875B
54,70,WAY_001_1,2,7001
55,70,WAY_001_2,1,7001
56,70,WAY_001_2,2,7005A
57,70,WAY_001_3,1,7005A
58,70,WAY_001_3,2,7005B
59,70,WAY_001_4,1,7005B
60,70,WAY_001_4,2,7011
61,70,WAY_001_5,1,7011
62,70,WAY_001_5,2,7015
63,70,WAY_001_6,1,7015
64,70,WAY_001_6,2,7021
65,70,WAY_001_7,1,7021
66,70,WAY_001_7,2,7025A
67,70,WAY_001_8,1,7025A
68,70,WAY_001_8,2,7025B
69,70,WAY_001_9,1,7025B
70,70,WAY_001_9,2,7033A
71,70,WAY_001_10,1,7033A
72,70,WAY_001_10,2,7033B
73,70,WAY_001_11,1,7033B
74,70,WAY_001_11,2,7041A
75,70,WAY_001_12,1,7041A
76,70,WAY_001_12,2,7041B
77,70,WAY_001_13,1,7041B
78,70,WAY_001_13,2,7045A
79,70,WAY_001_14,1,7045A
80,70,WAY_001_14,2,7045B
81,70,WAY_001_15,1,7004B
82,70,WAY_001_15,2,7004A
83,70,WAY_001_16,1,7004A
84,70,WAY_001_16,2,7014B
85,70,WAY_001_17,1,7014B
86,70,WAY_001_17,2,7014A
87,70,WAY_001_18,1,7014A
88,70,WAY_001_18,2,7024B
89,70,WAY_001_19,1,7024B
90,70,WAY_001_19,2,7024A
